EXPOCODE,Ship_Name.cc,Date.cc,Year_UTC,Month_UTC,Day_UTC,Time_UTC,Station_ID,Latitude,Longitude,Depth,CTDTEMP_ITS90,CTDTEMP_flag,Salinity_PSS78,Salinity_flag,DIC,DIC_flag,TA,TA_flag,Cst_Cnt,Btl_Cnt,Depth_ID,Depthm,T_degC,Salnty,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,BtlNum,RecInd,T_prec,T_qual,S_prec,S_qual,P_qual,O_qual,SThtaq,O2Satq,ChlorA,Chlqua,Phaeop,Phaqua,PO4uM,PO4q,SiO3uM,SiO3qu,NO2uM,NO2q,NO3uM,NO3q,NH3uM,NH3q,C14As1,C14A1p,C14A1q,C14As2,C14A2p,C14A2q,DarkAs,DarkAp,DarkAq,MeanAs,MeanAp,MeanAq,IncTim,LightP,R_Depth,R_TEMP,R_Sal,R_DYNHT,R_Nuts,R_Oxy_µmol/Kg,DIC1,DIC2,TA1,TA2,pH1,pH2,DIC Quality Comment,Cruise_ID,Cruise,Cruz_Sta,DbSta_ID,Cast_ID,Quarter,Sta_Code,Distance,Date.hydro,Julian_Date,Julian_Day,Time,Lat_Dec,Lat_Deg,Lat_Min,Lat_Hem,Lon_Dec,Lon_Deg,Lon_Min,Lon_Hem,Rpt_Line,St_Line,Ac_Line,Rpt_Sta,St_Station,Ac_Sta,Bottom_D,Secchi,ForelU,Ship_Name.hydro,Ship_Code,Data_Type,Order_Occ,Event_Num,Cruz_Leg,Orig_Sta_ID,Data_Or,Cruz_Num,IntChl,IntC14,Inc_Str,Inc_End,PST_LAN,Civil_T,TimeZone,Wave_Dir,Wave_Ht,Wave_Prd,Wind_Dir,Wind_Spd,Barometer,Dry_T,Wet_T,Wea,Cloud_Typ,Cloud_Amt,Visibility,Depthm_Upper,Depthm_Lower,anom
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,080.0 051.0,34.45,-120.5239,3,15.508,2,33.721,2,2020.8,2,2248,2,35601,894482,20-21055S-MX-133-0023-08000510-0003A-3,3,15.508,24.87503,6.592,24.87503,116.16,287.25,5,3,33,6,116,287,3,6,NA,6,3.371,NA,0.829,NA,0.32,NA,3.27,NA,0.042,NA,1.35,NA,0.12,NA,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,3,15.51,306.8,0.009,0.12,287.25,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210508000510,08000510,20-21055S-MX-133-00:23-08000510,2,ST,-2.63,2021-05-13,44329,133,00:23:36,34.45137,34,27.082,N,-120.52332,-120,31.399,W,080.0,80,80,051.0,51,51,72,7,NA,RV BELL M SHIMADA,325S,MX,39,45,1,80.0 51.0,3101,2105,162.8,NA,NA,NA,NA,NA,NA,28,3,10,30,7,1017.2,13.3,12.6,2,7,8,7,3.9,2.1,TRUE
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,080.0 055.0,34.3167,-120.8024,31,11.43,2,33.899,2,2144.8,3,2256.4,2,35602,894497,20-21055S-MX-132-2035-08000550-0031A-3,31,11.43,25.84242,4.559,25.84242,73.91,198.48,9,3,33,4,73,198,3,6,6,6,1.076,NA,0.879,NA,1.47,NA,18.21,NA,0.195,NA,15.82,NA,1.36,NA,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,31,11.43,215.5,0.07,1.36,198.48,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210508000550,08000550,20-21055S-MX-132-20:35-08000550,2,ST,-18.424,2021-05-12,44328,132,20:35:24,34.3249,34,19.494,N,-120.80522,-120,48.313,W,080.0,80,80,055.0,55,55,754,6,NA,RV BELL M SHIMADA,325S,MX,38,44,1,80.0 55.0,3101,2105,78.9,NA,NA,NA,NA,NA,NA,29,2,6,20,6,1018.2,13.9,12.7,2,6,8,7,31.9,30.1,TRUE
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,080.0 055.0,34.3167,-120.8024,3,13.261,2,33.788,2,2097.7,3,2254,2,35602,894491,20-21055S-MX-132-2035-08000550-0003A-3,3,13.261,25.40269,5.176,25.40269,87.16,225.43,12,3,33,5,87,225,3,6,NA,6,2.165,NA,0.9,NA,0.78,NA,10.96,NA,0.152,NA,8.01,NA,0.34,NA,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,3,13.26,256.6,0.008,0.34,225.43,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210508000550,08000550,20-21055S-MX-132-20:35-08000550,2,ST,-18.424,2021-05-12,44328,132,20:35:24,34.3249,34,19.494,N,-120.80522,-120,48.313,W,080.0,80,80,055.0,55,55,754,6,NA,RV BELL M SHIMADA,325S,MX,38,44,1,80.0 55.0,3101,2105,78.9,NA,NA,NA,NA,NA,NA,29,2,6,20,6,1018.2,13.9,12.7,2,6,8,7,3.9,2.1,TRUE
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,080.0 060.0,34.15,-121.15,4,13.257,2,33.46,2,2058.9,2,2234,2,35603,894515,20-21055S-MX-132-1636-08000600-0004A-3,4,13.257,25.14978,6.094,25.14978,102.41,265.48,12,3,33,6,102,265,3,NA,NA,NA,0.626,NA,0.207,NA,0.61,NA,3.41,NA,0.103,NA,5.11,NA,0.18,NA,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,4,13.26,280.6,0.011,0.18,265.48,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210508000600,08000600,20-21055S-MX-132-16:36-08000600,2,ST,-38.473,2021-05-12,44328,132,16:36:01,34.15008,34,9.005,N,-121.1497,-121,8.982,W,080.0,80,80,060.0,60,60,2197,17,NA,RV BELL M SHIMADA,325S,MX,37,43,1,80.0 60.0,3101,2105,49.5,NA,NA,NA,NA,NA,NA,27,3,7,18,2,1017.6,11.3,10.8,2,8,8,6,4.9,3.1,TRUE
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,080.0 070.0,33.8167,-121.843,3,13.89,2,33.244,2,2033.9,2,2219.8,2,35604,894540,20-21055S-MX-132-1102-08000700-0003A-3,3,13.89,24.8536,6.071,24.8536,103.23,264.56,12,3,33,6,103,264,3,NA,NA,NA,0.509,NA,0.136,NA,0.41,NA,1.9,NA,0.092,NA,1.18,NA,0,4,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,3,13.89,308.8,0.009,0,264.56,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210508000700,08000700,20-21055S-MX-132-11:02-08000700,2,ST,-78.274,2021-05-12,44328,132,11:02:07,33.81613,33,48.968,N,-121.84102,-121,50.461,W,080.0,80,80,070.0,70,70,3622,NA,NA,RV BELL M SHIMADA,325S,MX,36,42,1,80.0 70.0,3101,2105,40.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,7,1015.7,11.5,10.6,NA,NA,NA,NA,3.9,2.1,TRUE
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,080.0 080.0,33.4833,-122.5333,31,13.726,2,33.181,2,2056.2,2,2219.2,2,35605,894569,20-21055S-MX-132-0525-08000800-0031B-6,31,13.726,24.8348,NA,24.8348,NA,NA,10,6,33,NA,NA,NA,6,9,6,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,31,13.72,311.4,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210508000800,08000800,20-21055S-MX-132-05:25-08000800,2,ST,-118.844,2021-05-12,44328,132,05:25:29,33.47673,33,28.604,N,-122.54358,-122,32.615,W,080.0,80,80,080.0,80,80.2,3992,NA,NA,RV BELL M SHIMADA,325S,MX,35,41,1,80.0 80.0,3101,2105,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,10,1015.6,12.1,11.2,NA,NA,NA,NA,31.9,30.1,TRUE
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,080.0 080.0,33.4833,-122.5333,3,14.139,2,33.079,2,2021.3,2,2210.3,2,35605,894565,20-21055S-MX-132-0525-08000800-0003A-3,3,14.139,24.67476,6.056,24.67476,103.39,263.95,12,3,33,6,103,263,3,NA,NA,NA,0.404,NA,0.123,NA,0.36,NA,1.31,NA,0.058,NA,0.23,NA,0,4,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,3,14.14,325.8,0.01,0,263.95,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210508000800,08000800,20-21055S-MX-132-05:25-08000800,2,ST,-118.844,2021-05-12,44328,132,05:25:29,33.47673,33,28.604,N,-122.54358,-122,32.615,W,080.0,80,80,080.0,80,80.2,3992,NA,NA,RV BELL M SHIMADA,325S,MX,35,41,1,80.0 80.0,3101,2105,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,10,1015.6,12.1,11.2,NA,NA,NA,NA,3.9,2.1,TRUE
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,080.0 090.0,33.15,-123.221,3,14.201,2,33.152,2,2023.4,2,2215.8,2,35606,894587,20-21055S-MX-131-2331-08000900-0003A-3,3,14.201,24.7185,6.073,24.7185,103.86,264.68,11,3,33,6,103,264,3,NA,NA,NA,0.538,NA,0.128,NA,0.36,NA,1.34,NA,0.042,NA,0.18,NA,0,4,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,3,14.2,321.7,0.01,0,264.68,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210508000900,08000900,20-21055S-MX-131-23:31-08000900,2,ST,-158.123,2021-05-11,44327,131,23:31:18,33.14918,33,8.951,N,-123.22187,-123,13.312,W,080.0,80,80,090.0,90,90,4217,13,NA,RV BELL M SHIMADA,325S,MX,34,40,1,80.0 90.0,3101,2105,34.5,NA,NA,NA,NA,NA,NA,35,4,7,1,10,1015.3,13.5,12,2,7,8,6,3.9,2.1,TRUE
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,081.8 046.9,34.2749,-120.0252,31,11.041,2,34.031,2,2145.2,3,2264,3,35608,894639,20-21055S-MX-133-0419-08180469-0031A-3,31,11.041,26.01501,4.485,26.01501,72.16,195.22,10,3,34,4,72,195,3,6,6,6,0.557,NA,0.721,NA,1.59,NA,22.17,NA,0.268,NA,16.41,NA,0.62,NA,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,31,11.04,199.1,0.065,0.62,195.22,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210508180469,08180469,20-21055S-MX-133-04:19-08180469,2,ST,-14.652,2021-05-13,44329,133,04:19:37,34.27558,34,16.535,N,-120.0299,-120,1.794,W,081.8,81.8,81.8,046.9,46.9,46.9,580,NA,NA,RV BELL M SHIMADA,325S,MX,40,46,1,81.8 46.9,3101,2105,86.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,6,1017.7,13.5,12.8,NA,NA,NA,NA,31.9,30.1,TRUE
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,081.8 046.9,34.2749,-120.0252,3,13.315,2,33.977,3,2097.2,3,2241.8,3,35608,894634,20-21055S-MX-133-0419-08180469-0003A-3,3,13.315,25.53839,6.508,25.53839,109.85,283.41,12,3,33,6,109,283,3,NA,NA,NA,3.903,NA,0.644,NA,1.01,NA,16.32,NA,0.253,NA,7.64,NA,0.3,NA,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,3,13.31,243.6,0.007,0.3,283.41,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210508180469,08180469,20-21055S-MX-133-04:19-08180469,2,ST,-14.652,2021-05-13,44329,133,04:19:37,34.27558,34,16.535,N,-120.0299,-120,1.794,W,081.8,81.8,81.8,046.9,46.9,46.9,580,NA,NA,RV BELL M SHIMADA,325S,MX,40,46,1,81.8 46.9,3101,2105,86.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,6,1017.7,13.5,12.8,NA,NA,NA,NA,3.9,2.1,TRUE
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,083.3 040.6,34.2251,-119.4112,2,16.685,2,33.655,2,2086.7,2,2241.3,2,35609,894660,20-21055S-MX-133-0918-08330406-0002A-3,2,16.685,24.55688,6.069,24.55688,109.43,264.54,4,3,33,6,109,264,3,6,NA,6,1.336,NA,0.224,NA,NA,9,NA,9,NA,9,NA,9,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,2,16.68,337,0.007,NA,264.54,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210508330406,08330406,20-21055S-MX-133-09:18-08330406,2,ST,-5.933,2021-05-13,44329,133,09:18:25,34.22398,34,13.439,N,-119.41328,-119,24.797,W,083.3,83.3,83.3,040.6,40.6,40.6,34,NA,NA,RV BELL M SHIMADA,325S,MX,41,47,1,83.3 40.6,3101,2105,50.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2,1017.8,14.3,13.8,NA,NA,NA,NA,2.9,1.1,TRUE
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,083.3 042.0,34.1784,-119.5085,3,16.195,2,33.636,2,2028.4,2,2243.8,2,35610,894668,20-21055S-MX-133-1058-08330420-0003A-3,3,16.195,24.65494,6.037,24.65494,107.79,263.13,7,3,33,6,107,263,3,NA,NA,NA,0.895,NA,0.322,NA,0.31,NA,1.92,NA,0.052,NA,0.84,NA,0.17,NA,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,3,16.19,327.7,0.01,0.17,263.13,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210508330420,08330420,20-21055S-MX-133-10:58-08330420,2,ST,-11.385,2021-05-13,44329,133,10:58:14,34.18142,34,10.885,N,-119.51042,-119,30.625,W,083.3,83.3,83.3,042.0,42,42,115,NA,NA,RV BELL M SHIMADA,325S,MX,42,48,1,83.3 42.0,3101,2105,48.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,3,1017,14.3,13.7,NA,NA,NA,NA,3.9,2.1,TRUE
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,086.7 033.0,33.8895,-118.4903,4,17.322,2,33.675,2,1966.7,2,2247.7,2,35613,894716,20-21055S-MX-129-1549-08670330-0004A-3,4,17.322,24.42208,7.165,24.42208,130.81,312.36,4,3,33,7,130,312,3,NA,NA,NA,2.544,NA,0.602,NA,0.17,NA,0.74,NA,0.029,NA,0.33,NA,0,4,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,4,17.32,350,0.014,0,312.36,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210508670330,08670330,20-21055S-MX-129-15:49-08670330,2,ST,-3.36,2021-05-09,44325,129,15:49:44,33.88877,33,53.326,N,-118.48908,-118,29.345,W,086.7,86.7,86.7,033.0,33,33,57,7,NA,RV BELL M SHIMADA,325S,MX,25,31,1,86.7 33.0,3101,2105,93.8,NA,NA,NA,NA,NA,NA,14,1,7,14,4,1013.9,16.6,14.5,2,6,8,6,4.9,3.1,TRUE
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,086.7 035.0,33.8229,-118.6287,3,17.399,2,33.607,2,2019.6,2,2236.4,2,35614,894725,20-21055S-MX-129-1806-08670350-0003A-3,3,17.399,24.3522,5.891,24.3522,107.66,256.84,12,3,33,5,107,256,3,6,NA,6,0.42,NA,0.122,NA,NA,9,NA,9,NA,9,NA,9,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,3,17.4,356.6,0.011,NA,256.84,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210508670350,08670350,20-21055S-MX-129-18:06-08670350,2,ST,-11.066,2021-05-09,44325,129,18:06:06,33.82632,33,49.579,N,-118.62428,-118,37.457,W,086.7,86.7,86.7,035.0,35,34.9,637,17,NA,RV BELL M SHIMADA,325S,MX,26,32,1,86.7 35.0,3101,2105,52.2,NA,NA,NA,NA,NA,NA,12,1,8,17,9,1014.5,17.1,14.4,2,6,8,7,3.9,2.1,TRUE
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,090.0 037.0,33.1846,-118.3871,3,16.771,2,33.614,2,2028.9,2,2244.4,2,35624,894922,20-21055S-MX-128-2106-09000370-0003A-3,3,16.771,24.50568,6.207,24.50568,112.07,270.57,12,3,33,6,112,270,3,NA,NA,NA,0.628,NA,0.146,NA,0.24,NA,0.87,NA,0.055,NA,0.39,NA,0,4,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,3,16.77,342,0.01,0,270.57,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210509000370,09000370,20-21055S-MX-128-21:06-09000370,2,ST,-37.486,2021-05-08,44324,128,21:06:53,33.18407,33,11.044,N,-118.39232,-118,23.539,W,090.0,90,90,037.0,37,37.1,1184,11,NA,RV BELL M SHIMADA,325S,MX,21,25,1,90.0 37.0,3101,2105,55.7,NA,NA,NA,NA,NA,NA,27,1,6,18,3,1014.8,17.9,13.9,0,NA,0,7,3.9,2.1,TRUE
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,090.0 045.0,32.9179,-118.9355,2,16.761,2,33.645,2,2019.4,2,2243.3,2,35625,894945,20-21055S-MX-128-1608-09000450-0002A-3,2,16.761,24.53173,5.92,24.53173,106.89,258.06,12,3,33,5,106,258,3,NA,NA,NA,0.424,NA,0.1,NA,0.24,NA,2.63,NA,0,8,0.18,NA,0,4,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,2,16.76,339.4,0.007,0,258.06,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210509000450,09000450,20-21055S-MX-128-16:08-09000450,2,ST,-69.156,2021-05-08,44324,128,16:08:08,32.91702,32,55.021,N,-118.9355,-118,56.13,W,090.0,90,90,045.0,45,45,1699,12,NA,RV BELL M SHIMADA,325S,MX,20,24,1,90.0 45.0,3101,2105,43.1,NA,NA,NA,NA,NA,NA,10,7,5,15,2,1014.7,15.1,12.9,2,6,8,7,2.9,1.1,TRUE
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,090.0 053.0,32.6513,-119.4823,4,13.37,2,33.803,2,2066.5,3,2255,2,35626,894969,20-21055S-MX-128-1001-09000530-0004A-3,4,13.37,25.39261,6.225,25.39261,105.08,271.12,12,3,33,6,105,271,3,NA,NA,NA,3.951,NA,1.427,NA,0.6,NA,2.48,NA,0.128,NA,4.63,NA,0.79,NA,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,4,13.37,257.5,0.01,0.79,271.12,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210509000530,09000530,20-21055S-MX-128-10:01-09000530,2,ST,-101.217,2021-05-08,44324,128,10:01:12,32.64777,32,38.866,N,-119.48447,-119,29.068,W,090.0,90,90,053.0,53,53.1,1325,NA,NA,RV BELL M SHIMADA,325S,MX,19,23,1,90.0 53.0,3101,2105,173.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,21,1014.2,12.7,11.2,NA,NA,NA,NA,4.9,3.1,TRUE
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,090.0 060.0,32.4179,-119.9593,4,13.119,2,33.586,2,2064.9,2,2238.2,2,35627,894994,20-21055S-MX-128-0352-09000600-0004A-3,4,13.119,25.27442,6.156,25.27442,103.23,268.15,11,3,33,6,103,268,3,NA,NA,NA,1.636,NA,0.575,NA,0.7,NA,2.96,NA,0.269,NA,5.96,NA,0.17,NA,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,4,13.12,268.8,0.011,0.17,268.15,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210509000600,09000600,20-21055S-MX-128-03:52-09000600,2,ST,-129.555,2021-05-08,44324,128,03:52:37,32.40977,32,24.586,N,-119.96828,-119,58.097,W,090.0,90,90,060.0,60,60.2,864,NA,NA,RV BELL M SHIMADA,325S,MX,18,22,1,90.0 60.0,3101,2105,115.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,25,1016.5,12.9,11.2,NA,NA,NA,NA,4.9,3.1,TRUE
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,090.0 090.0,31.4179,-121.99,3,14.623,2,33.247,2,2024.3,2,2219.3,2,35630,895068,20-21055S-MX-127-0734-09000900-0003A-3,3,14.623,24.70288,6.065,24.70288,104.68,264.33,12,3,33,6,104,264,3,NA,NA,NA,0.333,NA,0.101,NA,0.37,NA,1.56,NA,0.037,NA,0.4,NA,0,4,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,3,14.62,323.2,0.01,0,264.33,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210509000900,09000900,20-21055S-MX-127-07:34-09000900,2,ST,-248.869,2021-05-07,44323,127,07:34:26,31.41483,31,24.89,N,-121.99643,-121,59.786,W,090.0,90,90,090.0,90,90.1,3840,NA,NA,RV BELL M SHIMADA,325S,MX,15,19,1,90.0 90.0,3101,2105,39.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,17,1020,13.8,12.4,NA,NA,NA,NA,3.9,2.1,TRUE
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,093.3 028.0,32.913,-117.3944,3,16.709,2,33.636,2,2014.4,2,2240,2,35633,895125,20-21055S-MX-124-2102-09330280-0003A-3,3,16.709,24.53717,6.217,24.53717,112.13,271,12,3,33,6,112,271,3,NA,NA,NA,0.308,NA,0.086,NA,0.21,NA,3.83,NA,0,8,0.12,NA,0,4,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,3,16.71,339,0.01,0,271,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210509330280,09330280,20-21055S-MX-124-21:02-09330280,2,ST,-7.409,2021-05-04,44320,124,21:02:38,32.9105,32,54.63,N,-117.39482,-117,23.689,W,093.3,93.3,93.3,028.0,28,28,624,15,NA,RV BELL M SHIMADA,325S,MX,2,3,1,93.3 28.0,3101,2105,29.4,NA,NA,NA,NA,NA,NA,26,1,7,31,6,1014.9,16.9,15,2,7,8,6,3.9,2.1,TRUE
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,093.3 030.0,32.8464,-117.5312,32,12.819,2,33.68,2,2173.4,2,2245.8,2,35634,895153,20-21055S-MX-124-2328-09330300-0032A-3,32,12.819,25.40817,5.168,25.40817,86.16,225.08,9,3,33,5,86,225,3,6,6,6,2.36,NA,0.783,NA,0.53,NA,1.77,NA,0.131,NA,4.47,NA,0,4,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,32,12.81,256.9,0.092,0,225.08,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210509330300,09330300,20-21055S-MX-124-23:28-09330300,2,ST,-15.209,2021-05-04,44320,124,23:28:01,32.84803,32,50.882,N,-117.53093,-117,31.856,W,093.3,93.3,93.3,030.0,30,30,850,14,NA,RV BELL M SHIMADA,325S,MX,3,4,1,93.3 30.0,3101,2105,101.7,NA,NA,NA,NA,NA,NA,30,1,7,21,5,1012.6,17.4,15.2,1,4,1,8,32.9,31.1,TRUE
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,093.3 030.0,32.8464,-117.5312,2,17.12,2,33.492,2,2022.3,2,2235.5,2,35634,895148,20-21055S-MX-124-2328-09330300-0002A-3,2,17.12,24.32969,5.848,24.32969,106.23,254.83,12,3,33,5,106,254,3,NA,6,NA,0.462,NA,0.065,NA,0.29,NA,1.8,NA,0,8,0.29,NA,0,4,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,2,17.12,358.7,0.004,0,254.83,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210509330300,09330300,20-21055S-MX-124-23:28-09330300,2,ST,-15.209,2021-05-04,44320,124,23:28:01,32.84803,32,50.882,N,-117.53093,-117,31.856,W,093.3,93.3,93.3,030.0,30,30,850,14,NA,RV BELL M SHIMADA,325S,MX,3,4,1,93.3 30.0,3101,2105,101.7,NA,NA,NA,NA,NA,NA,30,1,7,21,5,1012.6,17.4,15.2,1,4,1,8,2.9,1.1,TRUE
